client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
aaf6b52267451edd43f92433e040803b7c695022ac637484427c841d61dddefbc79acf6b684ebc2769e18c649d9b7a520a0041ecb7898d3f7e49d804f477a3ac	common_voice_hi_25148888.mp3	तुम इस गाड़ी के साथ क्या करने वाली हो?	1	1	twenties	male		hi	
76ae0779e8b42a6cebddc96f1c8be8cd17dc128ea3dc6c77c1afef491eb3334aec08ac644ce6b553783bec6530bcd7a8d7869d249d8fc4cbf394c176c2a03fe0	common_voice_hi_25269025.mp3	पत्रकार से मारपीट के आरोप में पुलिस अधिकारी के खिलाफ मामला	1	1				hi	
cf3aeeacb5f17296626b5c4098ec5eac55e41cd4794e1b866c7c42ccda4ff82ab59144d9af79e6479243e61724113d6c7ccccb7dc02e7a235f5ff37eee99c5d8	common_voice_hi_25745650.mp3	"राहुल का 'पंजा': जहां कमजोर रही मोदी सरकार, वहीं मेनिफेस्टो में सबसे ज्यादा प्रहार"	1	1				hi	
cf3aeeacb5f17296626b5c4098ec5eac55e41cd4794e1b866c7c42ccda4ff82ab59144d9af79e6479243e61724113d6c7ccccb7dc02e7a235f5ff37eee99c5d8	common_voice_hi_25869482.mp3	तुम मेरे भय्या मसाओ को जानते हो क्या?	1	1				hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983782.mp3	उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।	1	1	twenties	male		hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983834.mp3	कोलेजियम सिस्टम पर बोले काटजू- चुनकर आते हैं भ्रष्ट जज, तुरंत हटाइए	1	1	twenties	male		hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983835.mp3	तुम्हारे बदले मैं वहाँ जाऊँगा।	1	1	twenties	male		hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983836.mp3	जोन्स परिवार के नाम पर जो काला धब्बा है वह टिम है।	1	1	twenties	male		hi	
1963c5f396b43a02ea6a7cf2cacaafb042bfe53209c711d2325e2e4cfd7185370746e463b5ceb83f9ac807e048b8891b494db95e3bd7eccfbef896877eea9bbc	common_voice_hi_25983935.mp3	ट्रंप फिर बोले, भारत-पाकिस्तान चाहें तो कश्मीर पर मैं मध्यस्थता को तैयार	1	1	twenties	male		hi	
3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a	common_voice_hi_26005238.mp3	कंगना के वकील ने कहा, पुलिस ने किसी लैपटॉप की डिमांड नहीं की है	0	1	twenties	male		hi	
