client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
9dc2669a586f1b72a233cc2c68e24a8e97498464bc00c634a85d99693a7fe9df1d95309b7a37de2f61057c22b79ed49eaf2e33c8d1a6ce8f48c8217844782b44	common_voice_zh-CN_18527371.mp3	结果没啥可以看	0	2				zh-CN	
9dc2669a586f1b72a233cc2c68e24a8e97498464bc00c634a85d99693a7fe9df1d95309b7a37de2f61057c22b79ed49eaf2e33c8d1a6ce8f48c8217844782b44	common_voice_zh-CN_18527372.mp3	因为阿卡人的文化和哈尼族有部份重叠，因此也可以从哈尼族文学中看见阿卡人的踪影。	0	2				zh-CN	
9dc2669a586f1b72a233cc2c68e24a8e97498464bc00c634a85d99693a7fe9df1d95309b7a37de2f61057c22b79ed49eaf2e33c8d1a6ce8f48c8217844782b44	common_voice_zh-CN_18527373.mp3	碧环桥是中国浙江省宁波市一座古桥，位于鄞州区五乡镇仁久村。	0	2				zh-CN	
9dc2669a586f1b72a233cc2c68e24a8e97498464bc00c634a85d99693a7fe9df1d95309b7a37de2f61057c22b79ed49eaf2e33c8d1a6ce8f48c8217844782b44	common_voice_zh-CN_18527374.mp3	仲裁官的职位在巴列奥略王朝持续存在，直至君士坦丁堡陷落为止。	0	2				zh-CN	
9dc2669a586f1b72a233cc2c68e24a8e97498464bc00c634a85d99693a7fe9df1d95309b7a37de2f61057c22b79ed49eaf2e33c8d1a6ce8f48c8217844782b44	common_voice_zh-CN_18527375.mp3	安德索尼亚是位于美国加利福尼亚州门多西诺县的一个非建制地区。	0	2				zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531539.mp3	当时白居易罢去校书郎的官职，与友人元稹在华阳观准备应考。	0	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531570.mp3	莱克维尤是位于美国加利福尼亚州克恩县的一个非建制地区。	1	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531620.mp3	我们是逃避而来，不是忠诚于您，而是逃避死亡。	0	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531628.mp3	布莱恩镇区为美国堪萨斯州渥太华县辖下的镇区。	0	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531669.mp3	昆小铁路是中国云南省昆明市区内从昆明北站到小石坝站的米轨铁路。	1	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18531698.mp3	凯瑞·布朗是一名英国历史学家、政治学家，目前担任伦敦国王学院中国研究所主任。	1	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
91be8f1d80e937342a645cf8218b5d52318c6f56851925981e63e94ad9c01687718198e8501c8ae65fa468529331ec636be23fa4af2b7bd78003b18d38a166ed	common_voice_zh-CN_18532639.mp3	其总部位于乌戈尔尼机场。	1	2	twenties	male		zh-CN	
91be8f1d80e937342a645cf8218b5d52318c6f56851925981e63e94ad9c01687718198e8501c8ae65fa468529331ec636be23fa4af2b7bd78003b18d38a166ed	common_voice_zh-CN_18532641.mp3	由于新媒体影响力与日俱增，霸道总裁文经由网络文学传播到大众，最终自成文学流派。	0	2	twenties	male		zh-CN	
91be8f1d80e937342a645cf8218b5d52318c6f56851925981e63e94ad9c01687718198e8501c8ae65fa468529331ec636be23fa4af2b7bd78003b18d38a166ed	common_voice_zh-CN_18532642.mp3	具有丰富的铅铋回路和反应堆设计经验，以及雄厚的核物理学及测量技术。	0	2	twenties	male		zh-CN	
91be8f1d80e937342a645cf8218b5d52318c6f56851925981e63e94ad9c01687718198e8501c8ae65fa468529331ec636be23fa4af2b7bd78003b18d38a166ed	common_voice_zh-CN_18532643.mp3	俄罗斯航天飞行管理中心与美国国家航空航天局已经对事件展开调查。	1	2	twenties	male		zh-CN	
821c87b8d55c621fc0cc685ed4ab2c1ca573e98054e7a34f9ba43458747c75227b71f0c04c5e07c81e5ca32cdb736efe948801ec23c72291067bc11884faf0da	common_voice_zh-CN_18535253.mp3	萨瑟恩出生于英国兰开夏郡的伯恩利，早年在伯恩利文法学校接受教育。	1	2				zh-CN	
9a53ba0f860d523e57d36cc7d2297416e0168dffaf95ed4099fb0eead4446761807ebfff8bfd830b1ab946bfd826885f018ecf7a7af0d44ef9c6af10fe7d1f5a	common_voice_zh-CN_18536133.mp3	以下记录各参演练习生成员每集观众投票排名名次。	0	2	teens	male	出生地：45 广西壮族自治区	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536374.mp3	蒙多是位于美国加利福尼亚州因皮里尔县的一个非建制地区。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536376.mp3	杜松是位于美国加利福尼亚州莫多克县的一个非建制地区。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536400.mp3	成化元年，负责监督军队事务，征讨剿平藤峡盗乱。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536414.mp3	尹辅酋，唐代南诏异牟寻时清平官。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536419.mp3	酣弄蝶属是弄蝶亚科锷弄蝶族里的一个属。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536427.mp3	吴承仕，字检斋，号展成，又号济安。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536473.mp3	贡密县是柬埔寨磅湛省下辖的一个县。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536589.mp3	警大前教授叶毓兰认为，潘局长信口开河瞎掰。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536596.mp3	她注意到罹患的罕病孩童，常同时伴随有身材矮小、蹼状颈、眼距宽、耳朵低等体征。	0	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536603.mp3	让·马里·德斯皮奥，法国医生，后来成为越南阮朝的一名士大夫。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18536614.mp3	查米索是位于美国亚利桑那州科奇斯县的一个非建制地区。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
1dc93e59608071218da6cf8b5fbc798bc5a4f96f85517c245fbfb290cf631e6dc24bedb9e97424f75c707ad0777294e197fe780ebb7b25cfd560606f8e0512f4	common_voice_zh-CN_18554346.mp3	刑满释放后赴莫斯科。	0	2	thirties	male		zh-CN	
1dc93e59608071218da6cf8b5fbc798bc5a4f96f85517c245fbfb290cf631e6dc24bedb9e97424f75c707ad0777294e197fe780ebb7b25cfd560606f8e0512f4	common_voice_zh-CN_18554347.mp3	塞塞勒可能指：	0	2	thirties	male		zh-CN	
93b111ecda4370df4fc5a7ceb802c64fb65d6ed74d721962d6f03c9a0fbcdbcd0bb7cbb420211bcbe5aec3a24fbbd2eb30419d98e856d17d6ac6cb1977f62cfb	common_voice_zh-CN_18562415.mp3	徐玉莲为台湾女子篮球运动员，目前效力于中国文化大学，主要位置为大前锋。	0	2				zh-CN	
93b111ecda4370df4fc5a7ceb802c64fb65d6ed74d721962d6f03c9a0fbcdbcd0bb7cbb420211bcbe5aec3a24fbbd2eb30419d98e856d17d6ac6cb1977f62cfb	common_voice_zh-CN_18562416.mp3	大里索诺是一名美籍日裔女性芭蕾舞者和演员。	0	2				zh-CN	
93b111ecda4370df4fc5a7ceb802c64fb65d6ed74d721962d6f03c9a0fbcdbcd0bb7cbb420211bcbe5aec3a24fbbd2eb30419d98e856d17d6ac6cb1977f62cfb	common_voice_zh-CN_18562417.mp3	我现在站在宿舍前面	0	2				zh-CN	
93b111ecda4370df4fc5a7ceb802c64fb65d6ed74d721962d6f03c9a0fbcdbcd0bb7cbb420211bcbe5aec3a24fbbd2eb30419d98e856d17d6ac6cb1977f62cfb	common_voice_zh-CN_18562418.mp3	所罗门是位于美国阿拉斯加州诺姆人口普查区的一个非建制地区。	0	2				zh-CN	
93b111ecda4370df4fc5a7ceb802c64fb65d6ed74d721962d6f03c9a0fbcdbcd0bb7cbb420211bcbe5aec3a24fbbd2eb30419d98e856d17d6ac6cb1977f62cfb	common_voice_zh-CN_18562419.mp3	我有一股兴奋的感觉	0	2				zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18564054.mp3	不久，废除离狐郡，离狐县地入济阴郡。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
3852c88fb8fcbe8501b3765e0a8294f9606bc1bda608e9e3364db4ad28d9233c7d5eee36dc89ebcd985445936096a600251f27f431de597857e88af0f0076ac8	common_voice_zh-CN_18565837.mp3	奥本莱克特雷尔斯是位于美国加利福尼亚州埃尔多拉多县的一个人口普查指定地区。	0	2				zh-CN	
99a4cee094a7058f27e615982d793da9039f8916c4cb0934eafecb601214cb89657ddee22f688a38782a72f5b6622a323ed6dca74f6663430f8cb3c0804563ea	common_voice_zh-CN_18567450.mp3	新闻眼可以指：	1	2	teens	male	出生地：31 上海市	zh-CN	
c69453a9ae8cdd8ce47e767209e28e254719861de178ac57dfcc4018e0786a51541dda25d2468764d21722b2613ec628063aa15c64aa13dd35a5a5862fadcf04	common_voice_zh-CN_18571536.mp3	鲁德涅夫出生于大诺夫哥罗德的一户教师家庭。	1	2	twenties	male	出生地：71 台湾省	zh-CN	
